Question,Choice1,Choice2,Choice3,Choice4
<BOS> <ALP> は <NUM> 万 円 の 遺産 を 残し て 死亡 し た <ALP> と 配偶 者 <ALP> と の 間 に は 子 <ALP> が いる この うち <ALP> に は 子 <ALP> が おり <ALP> は <ALP> の 死亡 後 直ちに 相続 を 放棄 し た また <ALP> は <ALP> の 死亡 の 前 に 既に 死亡 し て おり その 子 <ALP> が 残さ れ て いる さら に <ALP> に は 先妻 <ALP> と の 間の子 <ALP> 非 嫡出 子 <ALP> と の 婚姻 前 に 縁組 し た 養子 <ALP> が いる この 場合 の 民法 の 規定 に 基づく 法定 相続 分 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> が <NUM> 万 円 <ALP> が <NUM> 万 円 で ある <EOS>,<ALP> が <NUM> 万 円 <ALP> が <NUM> 万 円 の 相続 分 を 取得 する <EOS>,<ALP> が <NUM> 万 円 の 相続 分 を <ALP> に 返済 し て い た 場合 <ALP> は 相続 人 と なら ず <ALP> は <ALP> に対して <NUM> 万 円 の 請求 を する こと が できる <EOS>,<ALP> が <NUM> 万 円 <ALP> が <NUM> 万 円 を 相続 する 場合 <ALP> は <ALP> に対して <NUM> 万 円 を 限度 として 求償 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 自己 所有 の 宅地 の 売買 契約 価格 <NUM> 万 円 を 宅地 建物 取引 業者 で ない <ALP> と <ALP> の 自宅 の 近く の ホテル の ロビー において 締結 し 手付 金 <NUM> 万 円 を 受領 し た また 契約 締結 の 際 <ALP> と <ALP> と の 間 で 当事者 の 債務 不履行 を 理由 と する 契約 の 解除 に 伴う 損害 賠償 の 額 を <NUM> 万 円 と 予定 し た この 場合 次 の 記述 の うち 正しい もの の 組合せ は どれ か <EOS>,<ALP> が <ALP> から 手付 金 を 受領 する に当たって <ALP> から 手付 金 を 受領 する 場合 保証 委託 契約 を 解除 する こと が できる 旨 の 特約 が ある 場合 <ALP> は <ALP> から 手付 金 を 受領 する こと が できる <EOS>,<ALP> は <ALP> が 履行 に 着手 する まで は 手付 の 放棄 により 契約 を 解除 する こと が でき さらに <NUM> 万 円 の 返還 を 請求 する こと が できる <EOS>,<ALP> が <ALP> から <NUM> 万 円 の 手付 金 を 受領 し た 後 <ALP> が 契約 締結 後 引渡し 解除 に 伴う 損害 賠償 の 予定 額 を <NUM> 万 円 で ある <EOS>,<ALP> は <ALP> から 手付 金 <NUM> 万 円 を 受領 する に当たって 銀行 に対して 保証 金 の 額 を <NUM> 万 円 と する 特約 を 定め た 場合 に は <ALP> は 手付 金 を 受領 する こと は でき ない <EOS>
<BOS> <ALP> は <ALP> 所有 の 土地 を <ALP> に対し <NUM> 億 円 で 売却 する 契約 を 締結 し 手付 金 として <NUM> 万 円 を 受領 し た <ALP> は 決済 日 において 登記 及び 引渡し 等 の 自己 の 債務 の 履行 を 提供 し た が <ALP> が 土地 の 値下がり を 理由 に 残 代金 を 支払わ なかっ た ので 登記 及び 引渡し は し なかっ た この 場合 民法 の 規定 及び 判例 に よれ ば 次 の 記述 の うち 誤っ て いる もの は いくつ ある か <EOS>,<ALP> が <ALP> の 責 を 理由 として <ALP> 間 の 売買 契約 を 締結 し た 場合 <ALP> は この 売買 契約 を 解除 する こと が できる この 場合 <ALP> は この 売買 契約 を 解除 する こと が できる <EOS>,<ALP> が <ALP> 問 の 売買 契約 締結 後 この 土地 を <ALP> に 転売 する 契約 を 締結 し て い た 場合 <ALP> は <ALP> 間 の 売買 契約 を 解除 し て も <ALP> の この 土地 を 取得 する 権利 を 害する こと は でき ない <EOS>,<ALP> は この 売買 契約 を 解除 する とともに <ALP> に対し 売買 契約 締結 後 解除 さ れる まで の 間 に 当該 建物 が 全焼 し た 場合 <ALP> は <ALP> に対し 損害 賠償 の 請求 を する こと が できる <EOS>,<ALP> が <ALP> に対して 違約 金 を <NUM> 万 円 を 受領 し た 場合 <ALP> は <ALP> に対して 違約 金 を 受領 する こと が できる <EOS>
<BOS> <ALP> は <ALP> 所有 の 土地 を <ALP> に対し <NUM> 億 円 で 売却 する 契約 を 締結 し 手付 金 として <NUM> 万 円 を 受領 し た <ALP> は 決済 日 において 登記 及び 引渡し 等 の 自己 の 債務 の 履行 を 提供 し た が <ALP> が 土地 の 値下がり を 理由 に 残 代金 を 支払わ なかっ た ので 登記 及び 引渡し は し なかっ た この 場合 民法 の 規定 及び 判例 に よれ ば 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<ALP> が <ALP> 間 の 売買 契約 締結 後 この 土地 を <ALP> に 転売 し 続ける 場合 <ALP> は <ALP> の 責 に 帰す べき 事由 が ない とき でも <ALP> は <ALP> に対し この 売買 契約 を 解除 する こと が できる <EOS>,<ALP> が <ALP> 間 の 売買 契約 締結 後 この 土地 を <ALP> に 転売 する 契約 を 締結 し て い た 場合 <ALP> は <ALP> 間 の 売買 契約 を 解除 し て も <ALP> の この 土地 を 取得 する 権利 を 害する こと は でき ない <EOS>,<ALP> は この 売買 契約 を 解除 する とともに <ALP> に対し 売買 契約 締結 後 引渡し が なさ れる まで の 間 に 当該 土地 付 建物 の 引渡し が なさ れ た 場合 <ALP> は 甲 建物 を <ALP> に 返還 し た 後 に <ALP> から 土地 を 貸 駐車 場 として <NUM> 万 円 を 受領 し た <EOS>,<ALP> が <ALP> に対して 債務 不履行 を 理由 に 契約 を 解除 し た 場合 <ALP> は <ALP> に対して 損害 賠償 の 請求 を する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> は 宅地 価格 <NUM> 億 円 を 造成 工事 の 完了 後 に 自ら 売主 として 宅地 建物 取引 業者 で ない 買主 <ALP> に 販売 し 手付 金 として <NUM> 万 円 を 受領 し た 契約 に よれ ば <ALP> へ の 宅地 の 引渡し 及び 登記 の 移転 は 残 代金 の 支払い と 同時に する こと と さ れ て いる この 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<ALP> が <ALP> から 手付 金 を 受領 し て いる 場合 <ALP> が <ALP> の 承諾 を 得 て い た とき で あっ て も <ALP> は <ALP> が 契約 の 履行 に 着手 し て い ない <EOS>,<ALP> は 手付 金 を 受領 し た 後 <NUM> 週間 以内 に 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> に 規定 する 手付 金 等 の 保全 措置 を 講じ なけれ ば なら ない <EOS>,<ALP> は <ALP> の 債務 不履行 を 理由 と する 契約 の 解除 に 伴う 損害 賠償 額 の 予定 や 違約 金 を 契約 条項 に 定める こと が できる が これら の 合計 額 が 代金 の 額 の <NUM> 分の <NUM> を 超える 場合 は <ALP> に 不利 に なる ので 全額 無効 で ある <EOS>,<ALP> が <ALP> から 手付 金 を 受領 し た 場合 <ALP> は <ALP> に対して <NUM> 万 円 を 受領 する こと が できる <EOS>
<BOS> <ALP> 宅地 建物 取引 業者 で は ない が 宅地 建物 取引 業者 <ALP> から 宅地 を <NUM> 万 円 で 購入 する 契約 を 締結 し 証 約 手付 として <NUM> 万 円 を 支払っ た その後 約束 の 期日 に <ALP> が 残 代金 を 提供 し た が <ALP> は これ を 受領 せ ず かつ 宅地 の 引渡し を し て い ない 場合 に関する 次 の 記述 の うち 民法 及び 宅地 建物 取引 業法 の 規定 並びに 判例 に よれ ば 正しい もの は どれ か <EOS>,<ALP> は <ALP> の 債務 不履行 を 理由 として 契約 の 解除 に 伴う 損害 賠償 の 額 を 支払っ た 場合 すでに 支払っ た こと を 証する こと が できる <EOS>,<ALP> は 当該 手付 は 証 約 手付 で ある から 手付 によって 解除 する こと は でき ない が <ALP> の 債務 不履行 を 理由 として 当該 契約 を 解除 する こと は できる <NUM> <ALP> は <ALP> に対して 手付 の 倍額 を 償還 すれ ば 常に 当該 契約 を 解除 する こと が できる <EOS>,<ALP> は 当該 手付 は 証 約 手付 で ある から 手付 によって 解除 する こと は でき ない が <ALP> の 債務 不履行 を 理由 として 当該 契約 を 解除 する こと は でき ない <EOS>,<ALP> は <ALP> から 手付 金 を 受領 する に当たって <ALP> から <NUM> 万 円 を 受領 し た 場合 <ALP> は <ALP> に対して <NUM> 万 円 を 受領 する こと が できる <EOS>
<BOS> 租税 特別 措置 法 第 <NUM> 条 の <NUM> の 直系 尊属 から 住宅 取得 等 資金 の 贈与 を 受け た 場合 の 贈与 税 の 非課税 措置 <NUM> 直系 尊属 から 住宅 取得 等 資金 の 贈与 を 受け た 場合 住宅 資金 非課税 限度 額 平成 <NUM> 年 中 に 贈与 を 受け た 場合 に は <NUM> 万 円 まで の 金額 について 贈与 税 が 非課税 と なる 特例 措置 <ALP> に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,住宅 用 の 家屋 の 新築 又は 取得 に 要し た 費用 の 額 が <NUM> 万 円 で なけれ ば この 非課税 措置 の 適用 を 受ける こと は でき ない <EOS>,住宅 取得 等 資金 の 贈与 を 受け た 年 の 受贈 者 の 合計 所得 金額 が <NUM> 万 円 を 超える 場合 に は この 非課税 措置 の 適用 を 受ける こと は でき ない <EOS>,自己 の 配偶 者 から 住宅 用 の 家屋 を 取得 し た 場合 で あっ て も この 非課税 措置 の 適用 を 受ける こと が できる <EOS>,相続 税法 第 <NUM> 条 の <NUM> の 規定 に 基づき 本 <NUM> に <NUM> 万 円 の 債務 を 弁済 し た 場合 に は <ALP> は <NUM> 万 円 の 限度 限度 限度 で 相続 する こと が できる <EOS>
<BOS> <ALP> は <ALP> と の 間 で <ALP> 所有 の 不動産 を 購入 する 売買 契約 を 締結 し た ただし <ALP> が <ALP> 所有 の 不動産 を 平成 <NUM> 年 <NUM> 月 末日 まで に 売却 でき その 代金 額 を 受領 する こと を 停止 条件 と し た 手付 金 の 授受 は なく その他 特段 の 合意 も ない この 場合 民法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> が <ALP> の 代金 支払 債務 の 全額 を 免れる 場合 <ALP> は <ALP> に対して 債務 の 全額 を 免れる <EOS>,平成 <NUM> 年 <NUM> 月 末日 以前 で この 停止 条件 の 成否 未定 の 間 は 契約 の 効力 が 生じ て い ない ので <ALP> は この 売買 契約 を 解除 する こと が でき ない <EOS>,<ALP> が <ALP> 所有 の 不動産 の 売買 代金 の 受領 を 拒否 し て 故意 に 停止 条件 の 成就 を 妨げ た 場合 <ALP> は その 停止 条件 が 成就 し た もの と みなす こと は でき ない <EOS>,<ALP> が <ALP> から <NUM> 万 円 を 受領 し た 場合 <ALP> は <ALP> に対して 履行 の 請求 を する こと が できる <EOS>
<BOS> 平成 <NUM> 年 <NUM> 月 に 住宅 用 家屋 を 売買 により 取得 し 所有 権 の 移転 の 登記 を 受ける 場合 住宅 用 家屋 の 所有 権 の 移転 登記 の 登録 免許 税 の 税率 の 軽減 措置 租税 特別 措置 法 第 <NUM> 条 以下 この間 において この 税率 の 軽減 措置 と いう が 適用 さ れる が これ に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,平成 <NUM> 年 <NUM> 月 <NUM> 日 に 属する もの で は ない <EOS>,平成 <NUM> 年 <NUM> 月 <NUM> 日 において 所有 期間 が <NUM> 年 を 超える 居住 用 財産 について その 者 と 生計 を 一 に し て い ない 孫 に 譲渡 し た 場合 に は <ALP> は 当該 売買 契約 を 取り消す こと が できる <EOS>,この 税率 の 軽減 措置 により 税率 は <NUM> 分の <NUM> に 軽減 さ れる <EOS>,軽減 税率 の 軽減 措置 の 適用 を 受ける ため に は 住宅 用 家屋 の 取得 後 <NUM> 年 以内 に その 旨 を 表示 し なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> は 自ら 売主 として 建築 工事 完了 前 の マンション を 代金 <NUM> 万 円 で 分譲 し た この 場合 宅地 建物 取引 業法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は いくつ ある か なお この間 において 保全 措置 と は 同 法 第 <NUM> 条 第 <NUM> 項 の 規定 による 手付 金 等 の 保全 措置 を いう <EOS>,当該 マンション の 所有 者 <ALP> から <ALP> 所有 の 建物 の 引渡し を 受け た 後 <NUM> 万 円 の 手付 が <ALP> から 受領 し た とき は <ALP> が 履行 に 着手 する まで は <ALP> 間 の 売買 契約 を 締結 する こと が できる <EOS>,<ALP> 間 の 売買 契約 において <ALP> が 当該 建物 の 引渡し を 受け た とき に は <ALP> が 手付 金 を 放棄 し て 契約 を 解除 する こと が できる 旨 の 特約 を し た 場合 に は 当該 特約 は 無効 で ある <EOS>,<ALP> が 当該 マンション を <ALP> に 分譲 し 中間 金 <NUM> 万 円 を 受領 する こと と なっ た 場合 <ALP> は その 受領 について 宅地 建物 取引 業者 で ある とき は <ALP> は <NUM> 万 円 を 受領 し た <EOS>,<ALP> が 手付 金 を 受領 する 場合 <ALP> は 保全 措置 を 講じ なけれ ば なら ない <EOS>
