Q_MAIN,ANS1,ANS2,ANS3,ANS4,ANS
次の記述のうち、宅地建物取引業法の免許を受ける必要のないものはどれか。,建設業法による建設業の許可を受けているAが、建築請負契約に付帯して取り決めた約束を履行するため、建築した共同住宅の売買のあっせんを反復継続して行う場合,地主Bが、都市計画法の用途地域内の所有地を、駐車場用地2区画、資材置場1区画、園芸用地3区画に分割したうえで、これらを別々に売却する場合,地主Cが、その所有地に自らマンションを建設した後、それを入居希望者に賃貸し、そのマンションの管理をCが行う場合,農家Dが、その所有する農地を宅地に転用し、全体を25区画に造成した後、宅地建物取引業者Eに販売代理を依頼して分譲する場合,3
A（個人）の宅地建物取引業法の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,Aが、競売により取得した複数の宅地を、宅地建物取引業者に媒介を依頼し売却する行為を繰り返し行う場合、Aは免許を必要としない。,Aが、土地区画整理事業により造成された甲市所有の宅地を、甲市の代理として売却する行為を繰り返し行う場合、Aは免許を必要としない。,Aが、組合方式による住宅の建築という名目で組合参加者を募り、A自らは組合員となることなく、当該組合員による住宅の建築のため、宅地の購入の媒介を繰り返し行う場合、Aは免許を必要としない。,Aが、賃貸物件の複数の所有者から一括して借上げ、賃借人に自ら又は宅地建物取引業者に媒介を依頼し賃貸する行為を繰り返し行う場合、Aは免許を必要としない。,4
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,建設会社Aが、所有宅地を10区画に分割し、宅地建物取引業者Bの代理により、不特定多数に継続して販売する場合、Aは免許を受ける必要はない。,農業協同組合Cが、所有宅地を10区画に分割し、倉庫の用に供する目的で、不特定多数に継続して販売する場合、Cは免許を受ける必要はない。,甲県住宅供給公社Dが、住宅を不特定多数に継続して販売する場合、Dは免許を受ける必要はない。,宅地建物取引士Eが、E名義で賃貸物件の媒介を反復継続して行う場合、Eが宅地建物取引業者Fに勤務していれば、Eは免許を受ける必要はない。,3
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,Aが、その所有する農地を区画割りして宅地に転用したうえで、一括して宅地建物取引業者Bに媒介を依頼して、不特定多数の者に対して売却する場合、Aは免許を必要としない。,Cが、その所有地にマンションを建築したうえで、自ら賃借人を募集して賃貸し、その管理のみをDに委託する場合、C及びDは、免許を必要としない。,Eが、その所有する都市計画法の用途地域内の農地を区画割りして、公益法人のみに対して反復継続して売却する場合、Eは、免許を必要としない。,Fが、甲県からその所有する宅地の販売の代理を依頼され、不特定多数の者に対して売却する場合、Fは、免許を必要としない。,2
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,Aの所有するオフィスビルを賃借しているBが、不特定多数の者に反復継続して転貸する場合、AとBは免許を受ける必要はない。,建設業の許可を受けているCが、建築請負契約に付随して、不特定多数の者に建物の敷地の売買を反復継続してあっせんする場合、Cは免許を受ける必要はない。,Dが共有会員制のリゾートクラブ会員権（宿泊施設等のリゾート施設の全部又は一部の所有権を会員が共有するもの）の売買の媒介を不特定多数の者に反復継続して行う場合、Dは免許を受ける必要はない。,宅地建物取引業者であるE（個人）が死亡し、その相続人FがEの所有していた土地を20区画に区画割りし、不特定多数の者に宅地として分譲する場合、Fは免許を受ける必要はない。,1
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,Ａが、競売により取得した宅地を10区画に分割し、宅地建物取引業者に販売代理を依頼して、不特定多数の者に分譲する場合、Ａは免許を受ける必要はない。,Ｂが、自己所有の宅地に自ら貸主となる賃貸マンションを建設し、借主の募集及び契約をＣに、当該マンションの管理業務をＤに委託する場合、Ｃは免許を受ける必要があるが、ＢとＤは免許を受ける必要はない。,破産管財人が、破産財団の換価のために自ら売主となって、宅地又は建物の売却を反復継続して行い、その媒介をＥに依頼する場合、Ｅは免許を受ける必要はない。,不特定多数の者に対し、建設業者Ｆが、建物の建設工事を請け負うことを前提に、当該建物の敷地に供せられる土地の売買を反復継続してあっせんする場合、Ｆは免許を受ける必要はない。,2
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,農地所有者が、その所有する農地を宅地に転用して売却しようとするときに、その販売代理の依頼を受ける農業協同組合は、これを業として営む場合であっても、免許を必要としない。,他人の所有する複数の建物を借り上げ、その建物を自ら貸主として不特定多数の者に反復継続して転貸する場合は、免許が必要となるが、自ら所有する建物を貸借する場合は、免許を必要としない。,破産管財人が、破産財団の換価のために自ら売主となり、宅地又は建物の売却を反復継続して行う場合において、その媒介を業として営む者は、免許を必要としない。,信託業法第３条の免許を受けた信託会社が宅地建物取引業を営もうとする場合、免許を取得する必要はないが、その旨を国土交通大臣に届け出ることが必要である。,4
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、正しいものはどれか。,宅地建物取引業を営もうとする者は、同一県内に２以上の事務所を設置してその事業を営もうとする場合にあっては、国土交通大臣の免許を受けなければならない。,Aが、B社が甲県に所有する1棟のマンション（20戸）を、貸主として不特定多数の者に反復継続して転貸する場合、Aは甲県知事の免許を受けなければならない。,C社が乙県にのみ事務所を設置し、Dが丙県に所有する１棟のマンション（10戸）について、不特定多数の者に反復継続して貸借の代理を行う場合、C社は乙県知事の免許を受けなければならない。,宅地建物取引業を営もうとする者が、国土交通大臣又は都道府県知事から免許を受けた場合、その有効期間は、国土交通大臣から免許を受けたときは５年、都道府県知事から免許を受けたときは３年である。,3
宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。,Ａの所有する商業ビルを賃借しているＢが、フロアごとに不特定多数の者に反復継続して転貸する場合、ＡとＢは免許を受ける必要はない。,宅地建物取引業者Ｃが、Ｄを代理して、Ｄの所有するマンション（30戸）を不特定多数の者に反復継続して分譲する場合、Ｄは免許を受ける必要はない。,Ｅが転売目的で反復継続して宅地を購入する場合でも、売主が国その他宅地建物取引業法の適用がない者に限られているときは、Ｅは免許を受ける必要はない。,Ｆが借金の返済に充てるため、自己所有の宅地を10区画に区画割りして、不特定多数の者に反復継続して売却する場合、Ｆは免許を受ける必要はない。,1
宅地建物取引業者A社が行う業務に関する次の記述のうち、宅地建物取引業法の規定に違反するものはいくつあるか。,A社は、建物の販売に際して、買主が手付として必要な額を持ち合わせていなかったため、手付を貸し付けることにより、契約の締結を誘引した。,A社は、建物の販売に際して、短時間であったが、私生活の平穏を害するような方法により電話勧誘を行い、相手方を困惑させた。,A社は、建物の販売に際して、売買契約の締結後、買主から手付放棄による契約解除の申出を受けたが、正当な理由なく、これを拒んだ。,A社は、建物の売買の媒介に際して、売買契約の締結後、買主に対して不当に高額の報酬を要求したが、買主がこれを拒んだため、その要求を取り下げた。,4
