Question,Choice
<BOS> 都市 計画 法 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 市町村 は 準 都市 計画 区域 について 都市 計画 を 決定 しよ う と する とき は あらかじめ 都道府県 知事 に 協議 し その 同意 を 得 なけれ ば なら ない が 都市 計画 区域 について 都市 計画 を 決定 しよ う と する とき は あらかじめ 国土 交通 大臣 と 協議 し その 同意 を 得 なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 が 行う 広告 に関する 次 の 記述 の うち 不当 景品 類 及び 不当 表示 防止 法 不動産 の 表示 に関する 公正 競争 規約 を 含む の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 完成 後 <NUM> か月 しか 経過 し て い ない 分譲 住宅 について は 入居 の 有無 に かかわら ず 新築 分譲 住宅 と 表示 し て も よい <EOS>
<BOS> <ALP> が <NUM> ㎡ の 土地 について 数量 を 指示 し て <ALP> に 売却 する 契約 を <ALP> と 締結 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> その 土地 の すべて が <ALP> の 所有 地 で <ALP> の 責 に 帰す べき 事由 によって <ALP> から 所有 権 を 取得 でき ず <ALP> に 所有 権 を 移転 でき ない 場合 <ALP> は 他 人物 売買 で ある こと を 知っ て い た とき で も <ALP> に対して 履行 不能 を 理由 として 損害 賠償 を 請求 する こと が できる <EOS>
<BOS> 宅地 建物 取引 士 <ALP> が 甲 県知事 から 宅地 建物 取引 士 証 の 交付 を 受け て いる 場合 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <ALP> が 乙 県知事 に 登録 の 移転 の 申請 とともに 宅地 建物 取引 士 証 の 交付 の 申請 を し た 場合 乙 県知事 は その 申請 の 日 から <NUM> 年 を 有効 期間 と する 宅地 建物 取引 士 証 を 交付 し なけれ ば なら ない <EOS>
<BOS> 次 の 記述 の うち 民法 の 条文 に 規定 さ れ て い ない もの は どれ か <EOS>,<BOS> 権利 の 行使 及び 義務 の 履行 は 信義 に従い 誠実 に 行わ なけれ ば なら ない 旨 <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 規定 による 土地 に関する 権利 の 移転 等 の 届出 以下 この間 において 事後 届出 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <ALP> が 所有 する 市街化区域 内 に 所在 する 面積 <NUM> <ALP> の 土地 について <ALP> に 売却 する 契約 を 締結 し た 場合 <ALP> は 事後 届出 を する 必要 が ある <EOS>
<BOS> 免許 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 は その 主たる 事務所 に 免許 証 を 掲げる 必要 は なく 国土 交通 省令 で 定める 標識 を 掲げれ ば よい <EOS>
<BOS> 宅地 建物 取引 業 保証 協会 以下 この 問 において 保証 協会 という に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 保証 協会 は 弁済 業務 保証 金 の 還付 が あっ た とき は 当該 還付 に 係る 社員 又は 社員 で あっ た 者 に対し 当該 還付 額 に 相当 する 額 の 還付 充当 金 を その 主たる 事務所 の 最寄り の 供託 所 に 供託 す べき こと を 通知 し なけれ ば なら ない <EOS>
<BOS> <ALP> が 債権 者 の 差押え を 免れる ため <ALP> と 通謀 し て <ALP> の 所有 する 甲 土地 を <ALP> に 譲渡 する 契約 を 仮装 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が <ALP> 間 の 契約 の 事情 につき 善意 無 過失 で <ALP> から 甲 土地 を 譲り受け た 場合 その後 <ALP> から 甲 土地 を 譲り受け た <ALP> は 所有 権 の 移転 の 登記 を 受け た とき で も <ALP> に対して 甲 土地 の 所有 権 を 主張 する こと が でき ない <EOS>
<BOS> 地方 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 平成 <NUM> 年 <NUM> 月 に 事業 用 ビル の 敷地 を 取得 し た 場合 の 不動産 取得 税 の 標準 税率 は <NUM> 分の <NUM> で ある <EOS>
